Name
folkBALTICA: Auftaktkonzert - folkBALTICA Ensemble (SH/DK) & Frigg (FIN)
Dorfringreiten in Witzwort
Sonderausstellung: Rückbesinnung - Peter Koch
Stadtführung durch Husum
Konzert auf Hoyerswort: Duck Tape Ticket
Schleswig-Holstein Musik Festival: Mnozil Brass
CG Open Air: Ray Wilson & Band im Schlosshof Husum
Weizenbier selbst brauen
Weizenbier selbst brauen
Wattexkursion: Hier gibt's Watt zu sehen!
Wattexkursion: Hier gibt's Watt zu sehen!
Wattexkursion: Hier gibt's Watt zu sehen!
Musik-Matinee im Schloss vor Husum
6. Hoyersworter Musikfestival: Rockville
Husumer Sommerkonzerte: Orgelkonzert
Führung: Durch Husum auf Theodor Storms Spuren
Führung: Durch Husum auf Theodor Storms Spuren
Führung: Durch Husum auf Theodor Storms Spuren
Führung: Durch Husum auf Theodor Storms Spuren
Führung: Durch Husum auf Theodor Storms Spuren
Hannes Wader
Godewind
Schauspiel: Das Käthchen von Heilbronn - von H. von Kleist
Saturday Night Fever - The Musical
